"Date & Time","Barometer - hPa","Inside Temp - °C","Inside Hum - %","Inside Dew Point - °C","Inside Heat Index - °C","Inside EMC","Temp - °C","High Temp - °C","Low Temp - °C","Hum - %","Dew Point - °C","Wet Bulb - °C","Wind Speed - km/h","Wind Direction","Wind Run - km","High Wind Speed - km/h","High Wind Direction","Wind Chill - °C","Heat Index - °C","THW Index - °C","THSW Index - °C","Rain - mm","Rain Rate - mm/h","Solar Rad - W/m^2","Solar Energy - Ly","High Solar Rad - W/m^2","ET - mm","UV Index","UV Dose - MEDs","High UV Index","Heating Degree Days","Cooling Degree Days"
"6/2/13 08:30","1000,6","20","37","5","18","7,3","-1","-1","-1","81","-4","--","2","S","0,8","14","SSE","-1","-1","-1","-3","0,4","0,0","25","1,08","39","0,0","0","0,0","0","0,400","0,000"
"6/2/13 09:00","1000,4","20","37","5","18","7,3","-0","-0","-1","79","-4","--","2","S","0,8","11","S","-0","-1","-1","-2","0,2","0,0","37","1,59","53","0,0","0","0,0","0","0,389","0,000"
"6/2/13 09:30","1000,1","20","37","5","18","7,3","1","1","-0","75","-3","--","0","","0,0","10","SSW","1","0","0","0","0,2","1,0","45","1,94","60","0,0","0","0,0","1","0,368","0,000"
"6/2/13 10:00","999,9","20","37","5","18","7,3","1","1","1","76","-3","--","0","","0,0","6","SSE","1","1","1","1","0,0","0,0","88","3,79","102","0,0","1","0,2","1","0,366","0,000"
"6/2/13 10:30","999,6","20","37","5","18","7,3","2","2","1","73","-3","--","0","","0,0","11","SSW","2","1","1","3","0,4","55,4","123","5,29","211","0,0","1","0,2","1","0,348","0,000"
"6/2/13 11:00","999,2","20","37","5","19","7,3","2","2","2","65","-4","--","5","WSW","2,4","18","SW","1","2","1","2","1,4","55,4","132","5,68","171","0,1","1","0,3","1","0,333","0,000"
"6/2/13 11:30","999,3","20","37","5","19","7,3","3","3","2","65","-3","--","5","WSW","2,4","16","SW","1","2","1","3","0,8","3,4","164","7,06","316","0,0","1","0,3","1","0,328","0,000"
"6/2/13 12:00","999,0","20","37","5","19","7,3","3","3","3","65","-3","--","5","W","2,4","18","SW","2","3","1","7","0,6","1,8","391","16,82","466","0,1","1","0,3","1","0,321","0,000"
"6/2/13 12:30","998,7","20","37","5","19","7,3","2","3","2","65","-3","--","3","W","1,6","14","W","2","2","2","5","0,4","1,8","225","9,68","308","0,0","1","0,2","1","0,331","0,000"
"6/2/13 13:00","998,7","20","37","5","19","7,3","2","2","2","65","-3","--","0","","0,0","5","S","2","2","2","4","0,4","0,8","154","6,63","178","0,0","0","0,1","1","0,331","0,000"
